"minid","mineral","locality","locid","cid","excitation","activators","dataname"
361,"Hyalite","Gallatin Co., Montana, USA",10680,3,"275nm LED","UO<sub>2</sub><sup>2+</sup>","361-hyalite-275led"
361,"Hyalite","Gallatin Co., Montana, USA",10680,3,"365nm LED","UO<sub>2</sub><sup>2+</sup>","361-hyalite-365led"
362,"Spinel","Lục Yên District, Yên Bái Province, Vietnam",6947,3,"365nm LED","Cr<sup>3+</sup>","362-spinel-365led"
363,"Corundum var Ruby","Lục Yên District, Yên Bái Province, Vietnam",6947,3,"365nm LED","Cr<sup>3+</sup>","363-ruby-365led"
364,"Corundum","Lục Yên District, Yên Bái Province, Vietnam",6947,3,"365nm LED","Cr<sup>3+</sup>","364-corundum-365led"
369,"Spinel","Lục Yên District, Yên Bái Province, Vietnam",6947,3,"365nm LED","Cr<sup>3+</sup>","369-spinel-365led"
377,"Powellite","Maharashtra, India",207921,3,"275nm LED","MoO<sub>4</sub><sup>2-</sup>","377-powellite-275led"
381,"Scheelite","Sichuan, China",729,3,"275nm LED","WO<sub>4</sub><sup>2-</sup>;REE","381-scheelite-275led"
381,"Scheelite","Sichuan, China",729,3,"365nm LED","WO<sub>4</sub><sup>2-</sup>;REE","381-scheelite-365led"
381,"Scheelite","Sichuan, China",729,3,"405nm Laser","REE","381-scheelite-405laser"
383,"Axinite","Monte Pu, Genoa, Liguria, Italy",63033,3,"365nm LED","Mn<sup>2+</sup>","383-axinite-365led"
386,"Calcite","Monte Zenone, Genoa, Liguria, Italy",63037,3,"275nm LED","Pb<sup>2+</sup>;Ce<sup>3+</sup>;Mn<sup>2+</sup>","386-calcite-275led"
386,"Calcite","Monte Zenone, Genoa, Liguria, Italy",63037,3,"305nm LED","Mn<sup>2+</sup>","386-calcite-305led"
386,"Calcite","Monte Zenone, Genoa, Liguria, Italy",63037,3,"365nm LED","Mn<sup>2+</sup>","386-calcite-365led"
394,"Sodalite","Aris Quarries, Aris, Khomas Region, Namibia",7687,3,"365nm LED","S<sub>2</sub><sup>2-</sup>","394-sodalite-365led"
396,"Powellite","Holts Ledge, Lyme, New Hampshire, USA",16183,3,"275nm LED","MoO<sub>4</sub><sup>2-</sup>","396-powellite-275led"
398,"Sodalite","Horne Quarry, Red Hill, New Hampshire, USA",30127,3,"365nm LED","S<sub>2</sub><sup>2-</sup>","398-sodalite-365led"
400,"Fluorapatite","Bennett Quarry, Oxford County, Maine, USA",3773,3,"275nm LED","Mn<sup>2+</sup>","400-fluorapatite-275led"
401,"Eucryptite","Parker Mountain Mine, New Hampshire, USA",9013,3,"275nm LED","Fe<sup>3+</sup>","401-eucryptite-275led"
402,"Montebrasite","Berry-Havey Quarry, Poland, Maine, USA",3802,3,"275nm LED","UO<sub>2</sub><sup>2+</sup>","402-montebrasite-275led"
403,"Manganapatite","Ham and Weeks Mine, Wakefield, New Hampshire, USA",16186,3,"275nm LED","Mn<sup>2+</sup>","403-fluorapatite-275led"
416,"Gypsum/Selenite","Lily Mine, Pisco Umay, Ica, Peru",6987,3,"365nm LED","Organic","416-selenite-365led"
420,"Austinite","Gold Hill Mine, Tooele Co., Utah, USA",39290,3,"275nm LED","UO<sub>2</sub><sup>2+</sup>","420-austinite-275led"
420,"Austinite","Gold Hill Mine, Tooele Co., Utah, USA",39290,3,"365nm LED","Mn<sup>2+</sup>","420-austinite-365led"
422,"Eucryptite","Midnight Owl Mine, Arizona, USA",30506,3,"275nm LED","Fe<sup>3+</sup>","422-eucryptite-275led"
423,"Eucryptite","Harding Mine, New Mexico, USA",13724,3,"275nm LED","Fe<sup>3+</sup>","423-eucryptite-275led"
425,"Eucryptite","Petalite pegmatite, Erongo Region, Namibia",306920,3,"275nm LED","Fe<sup>3+</sup>","425-eucryptite-275led"
427,"Eucryptite","Londonderry Li deposit, Coolgardie Shire, Australia",17479,3,"275nm LED","Fe<sup>3+</sup>","427-eucryptite-275led"
428,"Eucryptite","Bikita pegmatite, Masvingo, Zimbabwe",4351,3,"275nm LED","Fe<sup>3+</sup>","428-eucryptite-275led"
429,"Fluorite","Rogerley Mine, Weardale, UK",4995,3,"275nm LED","Eu<sup>2+</sup>; Ce<sup>3+</sup>","429-fluorite-275led"
429,"Fluorite","Rogerley Mine, Weardale, UK",4995,3,"305nm LED","Eu<sup>2+</sup>; Ce<sup>3+</sup>","429-fluorite-305led"
429,"Fluorite","Rogerley Mine, Weardale, UK",4995,3,"365nm LED","Eu<sup>2+</sup>","429-fluorite-365led"
450,"Variscite/Wavellite","Wiśniówka Wielka, Kielce County, Poland",69351,2,"365nm LED","Organic","450-variscite-365led"
553,"Sodalite","Mount Vesuvius, Naples, Campania, Italy",145740,3,"365nm LED","S<sub>2</sub><sup>2-</sup>","553-sodalite-365led"
553,"Sodalite","Mount Vesuvius, Naples, Campania, Italy",145740,3,"255nm LED","Fe<sup>3+</sup>","553-sodalite-255led"
554,"Hauyne","Biachella Valley, Sacrofano, Lazio, Italy",26476,2,"365nm LED","S<sub>2</sub><sup>2-</sup>","554-hauyne-365led"
554,"Hauyne","Biachella Valley, Sacrofano, Lazio, Italy",26476,2,"255nm LED","Fe<sup>3+</sup>","554-hauyne-255led"
555,"Quartz","Trompia Valley, Brescia, Lombardy, Italy",192570,3,"255nm LED","Hydrocarbons","555-quartz-255led"
556,"Spodumene","Pakistan",14323,3,"365nm LED","Mn<sup>2+</sup>","556-spodumene-365led"
